"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Pesach IV (CH’’M)","16/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","17/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","18/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","19/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","1/6/2006",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","2/6/2006",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","2/8/2006",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","3/8/2006",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","22/9/2006",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5767","23/9/2006",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","24/9/2006",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","1/10/2006",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","2/10/2006",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","6/10/2006",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","7/10/2006",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","8/10/2006",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","9/10/2006",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","10/10/2006",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","11/10/2006",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","12/10/2006",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","13/10/2006",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","14/10/2006",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","15/12/2006",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","16/12/2006",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","17/12/2006",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","18/12/2006",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","19/12/2006",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","20/12/2006",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","21/12/2006",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","22/12/2006",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","3/3/2007",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","4/3/2007",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","2/4/2007",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","3/4/2007",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","4/4/2007",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","5/4/2007",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","6/4/2007",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","7/4/2007",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","8/4/2007",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","9/4/2007",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","22/5/2007",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","23/5/2007",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","23/7/2007",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","24/7/2007",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","12/9/2007",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5768","13/9/2007",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","14/9/2007",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","21/9/2007",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","22/9/2007",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","26/9/2007",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","27/9/2007",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","28/9/2007",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","29/9/2007",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","30/9/2007",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","1/10/2007",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","2/10/2007",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","3/10/2007",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","4/10/2007",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","4/12/2007",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","5/12/2007",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","6/12/2007",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","7/12/2007",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","8/12/2007",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","9/12/2007",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","10/12/2007",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","11/12/2007",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","20/3/2008",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","21/3/2008",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","19/4/2008",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","20/4/2008",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","21/4/2008",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","22/4/2008",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","23/4/2008",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","24/4/2008",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","25/4/2008",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","26/4/2008",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","8/6/2008",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","9/6/2008",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","9/8/2008",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","10/8/2008",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","29/9/2008",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5769","30/9/2008",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","1/10/2008",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","8/10/2008",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/10/2008",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","13/10/2008",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","14/10/2008",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","15/10/2008",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","16/10/2008",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","17/10/2008",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","18/10/2008",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","19/10/2008",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","20/10/2008",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","21/10/2008",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","21/12/2008",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","22/12/2008",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","23/12/2008",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","24/12/2008",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","25/12/2008",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","26/12/2008",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","27/12/2008",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","28/12/2008",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","9/3/2009",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","10/3/2009",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","8/4/2009",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","9/4/2009",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","10/4/2009",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","11/4/2009",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","12/4/2009",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","13/4/2009",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","14/4/2009",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","15/4/2009",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","28/5/2009",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","29/5/2009",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","29/7/2009",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","30/7/2009",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","18/9/2009",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5770","19/9/2009",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","20/9/2009",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","27/9/2009",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","28/9/2009",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","2/10/2009",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","3/10/2009",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","4/10/2009",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","5/10/2009",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","6/10/2009",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","7/10/2009",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","8/10/2009",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","9/10/2009",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","10/10/2009",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","11/12/2009",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","12/12/2009",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","13/12/2009",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","14/12/2009",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","15/12/2009",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","16/12/2009",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","17/12/2009",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","18/12/2009",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
